City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,saint george,US,37.1041,-113.5841,82.0,5.0,1.0,18.41,clear sky
73,behshahr,IR,36.6923,53.5526,66.33,38.0,44.0,5.44,scattered clouds
74,bluff,NZ,-46.6,168.3333,54.9,67.0,4.0,5.1,clear sky
75,mar del plata,AR,-38.0023,-57.5575,66.99,88.0,0.0,6.91,clear sky
76,bambous virieux,MU,-20.3428,57.7575,79.0,83.0,40.0,6.91,scattered clouds
77,port alfred,ZA,-33.5906,26.891,65.01,86.0,37.0,4.94,scattered clouds
78,saskylakh,RU,71.9167,114.0833,-12.33,99.0,100.0,6.51,overcast clouds
79,mutoko,ZW,-17.397,32.2268,55.15,77.0,40.0,3.06,scattered clouds
80,kahului,US,20.8947,-156.47,78.8,57.0,40.0,20.71,scattered clouds
81,rio grande,BR,-32.035,-52.0986,73.0,89.0,100.0,1.01,overcast clouds
82,bethel,US,41.3712,-73.414,64.4,45.0,1.0,14.97,clear sky
83,vao,NC,-22.6667,167.4833,77.7,81.0,91.0,22.82,light rain
84,port elizabeth,ZA,-33.918,25.5701,60.8,94.0,90.0,10.36,mist
85,mufulira,ZM,-12.5498,28.2407,56.3,92.0,35.0,3.91,scattered clouds
86,albany,US,42.6001,-73.9662,71.6,32.0,40.0,6.91,scattered clouds
87,upernavik,GL,72.7868,-56.1549,23.32,74.0,100.0,2.95,overcast clouds
88,sola,VU,-13.8833,167.55,83.25,72.0,99.0,12.41,overcast clouds
89,saint paul,US,44.9444,-93.0933,59.0,67.0,90.0,18.41,overcast clouds
90,alberton,CA,46.8168,-64.0654,35.6,93.0,87.0,9.22,overcast clouds
91,busselton,AU,-33.65,115.3333,58.68,64.0,0.0,15.82,clear sky
92,codrington,AU,-38.2667,141.9667,58.8,66.0,100.0,14.07,overcast clouds
93,jambi,ID,-1.6,103.6167,75.51,91.0,98.0,2.93,light rain
94,nova soure,BR,-11.2333,-38.4833,76.57,78.0,67.0,10.27,broken clouds
95,hasaki,JP,35.7333,140.8333,53.6,50.0,75.0,5.75,broken clouds
96,ribeira grande,PT,38.5167,-28.7,60.06,82.0,14.0,13.56,few clouds
97,kaitangata,NZ,-46.2817,169.8464,60.01,82.0,0.0,1.83,clear sky
98,pimentel,PE,-6.8367,-79.9342,71.6,73.0,0.0,25.32,clear sky
99,tura,IN,25.5198,90.2201,67.77,89.0,0.0,4.36,clear sky
100,vestmanna,FO,62.1564,-7.1664,30.2,59.0,20.0,26.46,light snow
101,nanuque,BR,-17.8392,-40.3539,69.35,88.0,90.0,6.38,overcast clouds
102,lagoa,PT,39.05,-27.9833,58.8,87.0,9.0,14.94,clear sky
103,lavrentiya,RU,65.5833,-171.0,-4.31,78.0,4.0,1.74,clear sky
104,ancud,CL,-41.8697,-73.8203,55.99,82.0,90.0,5.75,light rain
105,methoni,GR,36.8197,21.7049,48.2,61.0,3.0,8.05,clear sky
106,tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70.0,20.0,8.05,few clouds
107,maniitsoq,GL,65.4167,-52.9,31.87,98.0,100.0,34.54,snow
108,georgetown,MY,5.4112,100.3354,80.01,88.0,20.0,4.72,few clouds
109,vanimo,PG,-2.6741,141.3028,82.65,73.0,100.0,5.08,overcast clouds
110,husavik,IS,66.0449,-17.3389,23.0,58.0,75.0,13.8,broken clouds
111,robertsport,LR,6.7533,-11.3686,80.24,88.0,15.0,6.51,few clouds
112,creston,US,41.0586,-94.3614,48.2,100.0,90.0,16.11,overcast clouds
113,narsaq,GL,60.9167,-46.05,35.6,69.0,75.0,3.44,broken clouds
114,ippy,CF,6.2679,21.2247,74.05,78.0,93.0,5.14,overcast clouds
115,cayenne,GF,4.9333,-52.3333,79.0,94.0,75.0,4.61,light rain
116,gao,ML,16.6362,1.637,84.27,8.0,89.0,9.57,overcast clouds
117,broome,US,42.2506,-75.833,66.2,39.0,1.0,8.05,clear sky
118,te anau,NZ,-45.4167,167.7167,60.21,52.0,11.0,5.19,few clouds
120,naraina,IN,26.7833,75.2,77.0,25.0,20.0,5.75,haze
121,suzun,RU,53.7841,82.3116,31.51,88.0,99.0,6.71,overcast clouds
123,los llanos de aridane,ES,28.6585,-17.9182,68.0,77.0,0.0,4.12,clear sky
124,san roque,ES,36.2107,-5.3842,60.8,77.0,75.0,24.16,broken clouds
125,sur,OM,22.5667,59.5289,79.21,46.0,0.0,11.39,clear sky
126,east london,ZA,-33.0153,27.9116,65.66,82.0,40.0,3.0,scattered clouds
127,tiksi,RU,71.6872,128.8694,-9.15,100.0,100.0,7.38,overcast clouds
128,usak,TR,38.5,29.4167,35.13,92.0,99.0,12.95,overcast clouds
130,lebu,CL,-37.6167,-73.65,54.54,88.0,3.0,1.74,clear sky
131,quatre cocos,MU,-20.2078,57.7625,79.0,83.0,40.0,6.91,scattered clouds
132,dikson,RU,73.5069,80.5464,1.83,77.0,52.0,12.17,broken clouds
133,clyde river,CA,70.4692,-68.5914,10.4,92.0,90.0,34.52,snow
134,luderitz,NA,-26.6481,15.1594,71.29,54.0,0.0,8.95,clear sky
135,carbonia,IT,39.1672,8.5222,48.2,81.0,0.0,4.61,clear sky
136,boden,SE,65.8252,21.6886,21.2,86.0,13.0,2.3,few clouds
137,talnakh,RU,69.4865,88.3972,6.19,93.0,85.0,4.36,overcast clouds
138,tasiilaq,GL,65.6145,-37.6368,15.8,79.0,45.0,6.91,scattered clouds
139,juneau,US,58.3019,-134.4197,33.8,96.0,90.0,32.21,light rain
141,yulara,AU,-25.2406,130.9889,69.8,40.0,26.0,4.61,scattered clouds
142,saint-philippe,RE,-21.3585,55.7679,77.0,73.0,0.0,5.75,clear sky
143,camocim,BR,-2.9022,-40.8411,79.38,82.0,100.0,13.65,overcast clouds
144,new norfolk,AU,-42.7826,147.0587,57.99,65.0,58.0,1.99,broken clouds
145,harper,LR,4.375,-7.7169,78.96,85.0,14.0,4.07,light rain
