City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ullapool,GB,2021-04-01 14:31:22,57.8987,-5.1604,51.01,53,14,1.99
67,Nunoa,PE,2021-04-01 14:31:22,-14.48,-70.6411,40.91,95,100,1.95
68,Saint Anthony,US,2021-04-01 14:31:22,45.0205,-93.218,30.99,54,1,3.94
69,Divnomorskoye,RU,2021-04-01 14:31:23,44.5011,38.1353,51.85,72,100,5.82
70,Szczytno,PL,2021-04-01 14:31:23,53.5626,20.9875,57.2,47,0,14.97
71,Chake Chake,TZ,2021-04-01 14:31:23,-5.2459,39.7666,82.62,74,100,12.77
72,Svetlyy,RU,2021-04-01 14:31:24,54.675,20.1347,41.0,87,75,17.9
73,Georgetown,MY,2021-04-01 14:26:59,5.4112,100.3354,86.0,79,20,1.14
74,Tucupita,VE,2021-04-01 14:31:24,9.0622,-62.051,79.57,80,95,7.16
75,Jamestown,US,2021-04-01 14:31:19,42.097,-79.2353,30.0,74,90,9.22
76,Scarborough,GB,2021-04-01 14:31:24,54.2797,-0.4044,46.0,70,99,1.99
77,Ouadda,CF,2021-04-01 14:31:25,8.0777,22.4007,99.73,12,37,5.64
78,Talant,FR,2021-04-01 14:31:25,47.3369,5.0089,75.2,31,0,3.44
79,Arzamas,RU,2021-04-01 14:27:25,55.3949,43.8399,36.82,98,100,11.54
80,Tubuala,PA,2021-04-01 14:31:25,9.5167,-79.0333,87.8,58,40,9.22
81,Jablah,SY,2021-04-01 14:31:26,35.3614,35.9256,62.6,48,20,11.5
82,Jaffna,LK,2021-04-01 14:26:45,9.6685,80.0074,83.39,86,4,23.89
83,Narasannapeta,IN,2021-04-01 14:31:26,18.4167,84.05,80.89,92,38,7.92
84,Valdivia,CL,2021-04-01 14:31:26,-39.8142,-73.2459,62.6,77,90,2.3
85,Adrar,MR,2021-04-01 14:31:27,20.5022,-10.0711,100.26,3,89,9.37
86,Spokoynaya,RU,2021-04-01 14:31:27,44.2468,41.4015,50.58,65,70,5.73
87,Talnakh,RU,2021-04-01 14:31:27,69.4865,88.3972,-13.31,76,1,6.29
88,Sinnamary,GF,2021-04-01 14:31:27,5.3833,-52.95,80.87,75,93,12.33
89,Pungesti,RO,2021-04-01 14:31:28,46.7,27.3333,66.0,39,0,14.97
90,San Cristobal,VE,2021-04-01 14:31:28,7.7669,-72.225,77.0,100,40,4.61
91,Praia Da Vitoria,PT,2021-04-01 14:31:28,38.7333,-27.0667,66.2,63,40,12.68
92,Saint-Philippe,RE,2021-04-01 14:31:29,-21.3585,55.7679,80.6,69,75,21.85
93,Barra Do Garcas,BR,2021-04-01 14:31:29,-15.89,-52.2567,89.6,48,0,2.3
94,Bandundu,CD,2021-04-01 14:31:29,-3.3167,17.3667,88.23,52,56,3.27
95,Zheshart,RU,2021-04-01 14:31:30,62.0731,49.5733,34.11,91,98,7.7
96,Zonguldak,TR,2021-04-01 14:31:30,41.25,31.8333,46.4,76,75,8.05
97,Solwezi,ZM,2021-04-01 14:31:30,-12.1688,26.3894,68.45,90,95,5.14
98,Yazd,IR,2021-04-01 14:27:09,31.8972,54.3675,80.6,10,20,6.91
99,La Asuncion,VE,2021-04-01 14:31:31,11.0333,-63.8628,79.2,74,65,15.37
100,Biggar,GB,2021-04-01 14:31:31,55.6167,-3.5167,48.0,62,39,8.01
101,Paamiut,GL,2021-04-01 14:31:31,61.994,-49.6678,35.51,88,100,42.52
102,Cockburn Town,TC,2021-04-01 14:31:31,21.4612,-71.1419,77.34,68,4,18.39
103,Urumqi,CN,2021-04-01 14:31:32,43.801,87.6005,46.4,46,75,6.71
104,Kargasok,RU,2021-04-01 14:31:32,59.0556,80.8572,29.61,80,100,17.65
105,Hofn,IS,2021-04-01 14:31:32,64.2539,-15.2082,51.8,43,0,20.71
106,Adet,ET,2021-04-01 14:31:33,11.2644,37.4888,72.54,39,99,11.32
107,Mahebourg,MU,2021-04-01 14:31:33,-20.4081,57.7,82.4,78,40,6.91
108,Bathsheba,BB,2021-04-01 14:31:33,13.2167,-59.5167,84.2,51,20,19.57
109,Pimentel,PE,2021-04-01 14:31:34,-6.8367,-79.9342,75.2,73,0,5.75
110,Tazovskiy,RU,2021-04-01 14:31:34,67.4667,78.7,6.46,88,100,21.3
111,Gornopravdinsk,RU,2021-04-01 14:31:34,60.05,69.9,31.44,97,100,7.72
112,Hersbruck,DE,2021-04-01 14:31:36,49.5125,11.4339,73.0,30,0,11.5
113,Envira,BR,2021-04-01 14:31:36,-7.3,-70.2167,85.44,61,86,2.77
114,Rio Bueno,CL,2021-04-01 14:31:36,-40.3167,-72.9667,59.0,82,90,2.3
115,Kruisfontein,ZA,2021-04-01 14:31:37,-34.0033,24.7314,68.0,63,99,5.99
116,Machilipatnam,IN,2021-04-01 14:31:37,16.1667,81.1333,93.2,38,67,4.61
117,Marawi,PH,2021-04-01 14:31:37,7.9986,124.2928,70.57,95,79,0.96
118,Boa Vista,BR,2021-04-01 14:31:38,2.8197,-60.6733,86.0,51,40,12.66
119,Medvedevo,RU,2021-04-01 14:31:38,56.6339,47.804,35.6,100,90,11.18
120,Sao Joao Do Piaui,BR,2021-04-01 14:31:38,-8.3581,-42.2467,93.15,41,100,4.74
121,Taoudenni,ML,2021-04-01 14:31:38,22.6783,-3.9836,102.52,4,66,11.36
122,Kulhudhuffushi,MV,2021-04-01 14:31:39,6.6221,73.07,84.15,77,85,12.97
123,Manono,CD,2021-04-01 14:31:39,-7.3,27.4167,81.09,72,83,2.24
124,Fomboni,KM,2021-04-01 14:31:39,-12.28,43.7425,83.79,74,59,10.04
125,Thinadhoo,MV,2021-04-01 14:31:40,0.5333,72.9333,83.86,79,100,15.46
126,Raudeberg,NO,2021-04-01 14:31:40,61.9875,5.1352,42.01,76,99,11.83
127,Kudahuvadhoo,MV,2021-04-01 14:31:40,2.6708,72.8944,83.95,75,98,16.31
128,Mataro,ES,2021-04-01 14:31:41,41.5421,2.4445,68.0,45,95,1.99
129,Walvis Bay,NA,2021-04-01 14:31:41,-22.9575,14.5053,87.8,37,0,13.8
130,Saint-Georges,GD,2021-04-01 14:29:02,12.0564,-61.7485,84.2,65,40,20.71
131,Peterhead,GB,2021-04-01 14:31:42,57.5058,-1.7981,46.4,53,40,8.05
132,Clyde River,CA,2021-04-01 14:31:42,70.4692,-68.5914,-13.0,77,90,33.38
133,Mulchen,CL,2021-04-01 14:31:42,-37.7167,-72.2333,59.0,77,75,2.3
134,Duartina,BR,2021-04-01 14:31:43,-22.4144,-49.4039,77.0,50,0,10.36
135,Chiredzi,ZW,2021-04-01 14:31:18,-21.05,31.6667,83.82,29,26,7.65
136,Tambura,SS,2021-04-01 14:31:43,5.6,27.4667,79.75,55,83,5.55
137,Canalete,CO,2021-04-01 14:31:43,8.6761,-76.2042,86.63,64,77,7.65
138,Tabou,CI,2021-04-01 14:31:44,4.423,-7.3528,83.89,69,67,7.14
139,Honningsvag,NO,2021-04-01 14:31:44,70.9821,25.9704,34.7,81,100,6.89
140,Barreirinha,BR,2021-04-01 14:31:44,-2.7933,-57.07,73.0,99,100,1.79
141,Hambantota,LK,2021-04-01 14:31:45,6.1241,81.1185,82.4,83,0,6.91
142,Ostrovnoy,RU,2021-04-01 14:31:45,68.0531,39.5131,29.32,96,100,12.17
143,Grande-Synthe,FR,2021-04-01 14:31:45,51.0154,2.2998,50.0,66,11,7.0
144,Madras,IN,2021-04-01 14:31:46,13.0878,80.2785,86.0,79,20,11.5
145,Agadez,NE,2021-04-01 14:31:46,19.75,10.25,85.48,6,0,10.76
146,Shache,CN,2021-04-01 14:31:46,38.4167,77.2406,52.18,37,82,7.34
147,Yashkul,RU,2021-04-01 14:31:46,46.1711,45.3435,52.56,47,76,19.1
148,Thompson,CA,2021-04-01 14:31:47,55.7435,-97.8558,24.8,68,75,5.75
149,Carnarvon,AU,2021-04-01 14:31:47,-24.8667,113.6333,80.6,89,75,8.05
